"","fips","location","rpl_themes","e_pov150","e_unemp","e_hburd","e_nohsdp","e_uninsur","e_age65","e_age17","e_disabl","e_sngpnt","e_limeng","e_minrty","e_munit","e_mobile","e_crowd","e_noveh","e_groupq"
"176","44007014200","Census Tract 142; Providence County; Rhode Island",0.449,325,60,225,705,59,580,446,191,57,64,2011,34,0,9,19,2849
"177","44007014300","Census Tract 143; Providence County; Rhode Island",0.5878,300,218,596,188,231,1197,1138,546,69,80,1435,539,0,17,222,2
"178","44007014400","Census Tract 144; Providence County; Rhode Island",0.3714,339,50,422,125,67,804,637,525,36,20,466,443,5,0,61,43
"179","44007014501","Census Tract 145.01; Providence County; Rhode Island",0.0245,285,111,162,72,108,848,887,353,0,49,412,0,0,10,33,34
"180","44007014502","Census Tract 145.02; Providence County; Rhode Island",0.4939,619,70,692,513,421,821,616,600,75,106,411,274,0,9,76,18
"181","44007014600","Census Tract 146; Providence County; Rhode Island",0.1755,410,21,477,313,194,1082,1375,871,49,196,1123,18,15,0,50,68
"182","44007014700","Census Tract 147; Providence County; Rhode Island",0.9265,2258,331,1296,1254,857,1225,2007,1596,400,1114,4882,605,0,78,516,50
"183","44007014800","Census Tract 148; Providence County; Rhode Island",0.2653,576,51,672,131,142,1113,831,416,129,127,1181,437,0,15,15,125
"184","44007015000","Census Tract 150; Providence County; Rhode Island",0.5592,626,113,447,560,124,397,1134,498,76,344,2488,75,14,11,115,0
"185","44007015100","Census Tract 151; Providence County; Rhode Island",0.9102,1495,105,838,853,105,629,1072,652,210,457,3227,453,19,86,357,0
"186","44007015200","Census Tract 152; Providence County; Rhode Island",0.9714,1475,74,881,914,49,859,434,969,96,399,2017,1350,0,181,825,127
"187","44007015300","Census Tract 153; Providence County; Rhode Island",0.9429,1078,142,406,356,316,222,928,458,190,217,1992,191,0,45,194,0
"188","44007015400","Census Tract 154; Providence County; Rhode Island",0.8204,285,135,276,339,127,136,494,313,72,198,1485,112,0,19,55,41
"189","44007015500","Census Tract 155; Providence County; Rhode Island",0.6082,1207,312,656,536,115,314,857,562,209,184,2887,70,0,19,67,3
"190","44007015600","Census Tract 156; Providence County; Rhode Island",0.4816,311,94,223,91,72,239,481,339,29,25,1373,142,0,44,186,4
"191","44007015700","Census Tract 157; Providence County; Rhode Island",0.4898,436,110,403,454,145,842,689,465,42,65,848,10,0,23,70,2
"192","44007015800","Census Tract 158; Providence County; Rhode Island",0.5224,482,86,336,310,158,613,892,562,62,39,1211,11,0,56,110,13
"193","44007015900","Census Tract 159; Providence County; Rhode Island",0.7102,913,118,519,585,162,305,756,294,403,163,1230,238,0,21,38,0
"194","44007016000","Census Tract 160; Providence County; Rhode Island",0.8122,753,119,701,389,121,423,525,623,109,254,2020,347,0,83,288,9
"195","44007016100","Census Tract 161; Providence County; Rhode Island",0.8449,1498,139,671,711,436,508,1189,694,152,655,4035,278,0,57,344,34
