STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,COUNTY,StateAbbr,StateDesc,Location,E_TOTPOP,M_TOTPOP,E_DAYPOP,SPL_EJI,RPL_EJI,SPL_SER,RPL_SER,EPL_OZONE,EPL_PM,EPL_DSLPM,EPL_TOTCR,SPL_EBM_THEME1,RPL_EBM_DOM1,EPL_NPL,EPL_TRI,EPL_TSD,EPL_RMP,EPL_COAL,EPL_LEAD,SPL_EBM_THEME2,RPL_EBM_DOM2,EPL_PARK,EPL_HOUAGE,EPL_WLKIND,SPL_EBM_THEME3,RPL_EBM_DOM3,EPL_RAIL,EPL_ROAD,EPL_AIRPRT,SPL_EBM_THEME4,RPL_EBM_DOM4,EPL_IMPWTR,SPL_EBM_THEME5,RPL_EBM_DOM5,SPL_EBM,RPL_EBM,EPL_MINRTY,SPL_SVM_DOM1,RPL_SVM_DOM1,EPL_POV200,EPL_NOHSDP,EPL_UNEMP,EPL_RENTER,EPL_HOUBDN,EPL_UNINSUR,EPL_NOINT,SPL_SVM_DOM2,RPL_SVM_DOM2,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_LIMENG,SPL_SVM_DOM3,RPL_SVM_DOM3,EPL_MOBILE,EPL_GROUPQ,SPL_SVM_DOM4,RPL_SVM_DOM4,SPL_SVM,RPL_SVM,F_BPHIGH,F_ASTHMA,F_CANCER,F_MHLTH,F_DIABETES,F_HVM,RPL_HVM,E_OZONE,E_PM,E_DSLPM,E_TOTCR,E_NPL,E_TRI,E_TSD,E_RMP,E_COAL,E_LEAD,E_PARK,E_HOUAGE,E_WLKIND,E_RAIL,E_ROAD,E_AIRPRT,E_IMPWTR,EP_MINRTY,EP_POV200,EP_NOHSDP,EP_UNEMP,EP_RENTER,EP_HOUBDN,EP_UNINSUR,EP_NOINT,EP_AGE65,EP_AGE17,EP_DISABL,EP_LIMENG,EP_MOBILE,EP_GROUPQ,EP_BPHIGH,EP_ASTHMA,EP_CANCER,EP_MHLTH,EP_DIABETES,EPL_BPHIGH,EPL_ASTHMA,EPL_CANCER,EPL_DIABETES,EPL_MHLTH
44,7,13101,1400000US44007013101,44007013101,131.01,Providence,RI,Rhode Island,"Census Tract 131.01, Providence County, Rhode Is",4982.0,324.0,3276.0,0.3395,0.043,0.1395,0.013,0.6074,0.0817,0.1445,0.0954,0.929,0.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203,0.4561,0.8592,2.0356,0.8366,0.0,0.4272,0.0,0.4272,0.1372,0.4122,0.4122,0.4122,3.804,0.0862,0.1284,0.1284,0.1284,0.272,0.2321,0.159,0.1279,0.4241,0.2141,0.408,1.8372,0.1662,0.3978,0.465,0.5786,0.0,1.4414,0.121,0.0,0.0,0.0,0.0,3.407,0.0533,0.0,1.0,0.0,0.0,0.0,1.0,0.2,1.33,6.64,0.17,20.63,0.0,0.0,0.0,0.0,0.0,0.0,16.67,57.76,5.0,0.0,36.66,0.0,34.62,6.5,18.9102,5.0,2.4,12.5,24.0669,3.5,13.9,14.0,21.6,13.7,0.0,0.0,0.0,31.8,11.5,7.3,12.6,9.3,0.4937,0.8594,0.6363,0.319,0.339
44,7,13102,1400000US44007013102,44007013102,131.02,Providence,RI,Rhode Island,"Census Tract 131.02, Providence County, Rhode Is",5159.0,328.0,3069.0,0.7259,0.1971,0.5259,0.1632,0.6451,0.1041,0.1792,0.1219,1.0503,0.1781,0.9466,0.0,0.0,0.0,0.0,0.0,0.9466,0.5887,1.0,0.5696,0.6823,2.2519,0.9369,0.0,0.4699,0.0,0.4699,0.1526,0.5473,0.5473,0.5473,5.266,0.3478,0.0629,0.0629,0.0629,0.1095,0.2685,0.7397,0.1457,0.262,0.1722,0.3264,2.024,0.1982,0.6571,0.3073,0.424,0.0,1.3884,0.104,0.7436,0.4452,1.1888,0.7277,4.6641,0.1781,0.0,1.0,0.0,0.0,0.0,1.0,0.2,1.67,6.84,0.19,21.57,7.19,0.0,0.0,0.0,0.0,0.0,0.0,67.3,6.94,0.0,45.15,0.0,56.1,3.8,10.7268,5.6,7.2,13.4,19.768,3.0,11.7,18.3,19.3,11.5,0.0,7.2,0.2,31.2,11.1,7.4,11.7,8.9,0.4583,0.8076,0.6609,0.2668,0.238
44,7,13201,1400000US44007013201,44007013201,132.01,Providence,RI,Rhode Island,"Census Tract 132.01, Providence County, Rhode Is",4930.0,261.0,2639.0,0.8207,0.2487,0.4207,0.1064,0.7101,0.0906,0.2308,0.1358,1.1673,0.2129,0.0,0.3766,0.0,0.8122,0.0,0.0,1.1888,0.6555,0.7366,0.5847,0.7571,2.0784,0.8597,0.2778,0.3324,0.0,0.6102,0.2223,0.3169,0.3169,0.3169,5.3616,0.3691,0.0384,0.0384,0.0384,0.0825,0.1851,0.4307,0.1641,0.0817,0.0257,0.4513,1.4211,0.1011,0.7376,0.2161,0.5918,0.0,1.5455,0.1646,0.0,0.3832,0.3832,0.1614,3.3882,0.0516,0.0,1.0,1.0,0.0,0.0,2.0,0.4,2.33,6.72,0.22,22.07,0.0,3.09,0.0,17.94,0.0,0.0,13.63,68.52,6.13,1.93,20.91,0.0,21.58,2.7,9.1519,4.2,4.3,14.3,14.1097,0.9,15.1,19.8,17.6,13.9,0.0,0.0,0.1,32.7,11.0,8.1,11.3,9.2,0.5477,0.7919,0.8173,0.3056,0.1966
44,7,13202,1400000US44007013202,44007013202,132.02,Providence,RI,Rhode Island,"Census Tract 132.02, Providence County, Rhode Is",5704.0,261.0,2944.0,0.5427,0.1106,0.1427,0.0135,0.7101,0.0759,0.1617,0.1064,1.0541,0.1795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5052,0.8895,2.3947,0.9752,0.0,0.35,0.0,0.35,0.1152,0.2937,0.2937,0.2937,4.0925,0.1228,0.0724,0.0724,0.0724,0.0533,0.166,0.1858,0.1149,0.1354,0.0049,0.1558,0.8161,0.0317,0.6223,0.2894,0.2211,0.3205,1.4533,0.1256,0.4769,0.0,0.4769,0.2368,2.8187,0.0199,0.0,1.0,1.0,0.0,0.0,2.0,0.4,2.33,6.58,0.18,21.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.96,4.61,0.0,23.52,0.0,18.59,4.2,7.2522,3.9,2.6,11.8,16.1044,0.2,7.1,17.7,19.0,8.7,0.5,0.6,0.0,32.8,10.8,7.8,10.9,8.7,0.5536,0.7575,0.7565,0.242,0.1577
44,7,13300,1400000US44007013300,44007013300,133.0,Providence,RI,Rhode Island,"Census Tract 133, Providence County, Rhode Islan",4713.0,21.0,1962.0,0.6045,0.1373,0.2045,0.0266,0.7101,0.0605,0.1445,0.0885,1.0036,0.1655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4894,0.8312,2.3206,0.9586,0.0,0.3467,0.0,0.3467,0.1143,0.3219,0.3219,0.3219,3.9928,0.1093,0.1334,0.1334,0.1334,0.1232,0.1851,0.1003,0.1717,0.2949,0.3021,0.3898,1.5671,0.1237,0.7017,0.2674,0.2847,0.0,1.2538,0.0711,0.4558,0.5072,0.963,0.6267,3.9173,0.0952,0.0,1.0,1.0,0.0,0.0,2.0,0.4,2.33,6.41,0.17,20.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.64,5.29,0.0,23.0,0.0,22.23,6.7,11.4925,4.2,1.9,14.7,20.6436,4.5,13.4,19.1,18.6,9.6,0.0,0.5,0.3,32.1,11.2,7.5,11.9,9.1,0.5115,0.8225,0.6866,0.293,0.2588
44,7,13400,1400000US44007013400,44007013400,134.0,Providence,RI,Rhode Island,"Census Tract 134, Providence County, Rhode Islan",4113.0,279.0,2181.0,1.6634,0.6948,1.2634,0.7056,0.7101,0.1293,0.6544,0.3121,1.8059,0.4726,0.0,0.8577,0.9669,0.7398,0.0,0.0,2.5644,0.9465,0.3853,0.953,0.1573,1.4956,0.4397,0.6527,0.742,0.0,1.3947,0.6767,0.7116,0.7116,0.7116,7.9722,0.8815,0.3554,0.3554,0.3554,0.2343,0.226,0.2569,0.5602,0.5449,0.2141,0.4441,2.4805,0.2847,0.806,0.3586,0.2631,0.6668,2.0945,0.5792,0.4399,0.7346,1.1745,0.723,6.1049,0.3819,0.0,1.0,1.0,0.0,0.0,2.0,0.4,2.33,7.03,0.53,26.89,0.0,100.0,34.19,5.86,0.0,0.0,100.0,95.54,14.33,72.98999999999998,99.07,0.0,84.9,18.8,17.0611,4.9,3.1,35.5,27.6026,3.5,14.9,21.4,20.1,9.3,3.0,0.4,1.4,31.9,10.8,8.0,10.9,9.1,0.4999,0.7575,0.7983,0.293,0.1577
44,7,13500,1400000US44007013500,44007013500,135.0,Providence,RI,Rhode Island,"Census Tract 135, Providence County, Rhode Islan",4654.0,422.0,2542.0,1.6104,0.6728,1.4104,0.7902,0.7101,0.1383,0.7394,0.3422,1.93,0.5248,0.0,0.8577,0.9627,0.9016,0.0,0.0,2.722,0.9657,0.3853,0.8789,0.1065,1.3707,0.3205,0.776,0.7666,0.0,1.5426,0.7715,0.719,0.719,0.719,8.2843,0.9157,0.6417,0.6417,0.6417,0.5056,0.2563,0.0904,0.7228,0.8281,0.3107,0.1488,2.8627,0.3626,0.2724,0.3198,0.4603,0.7399,1.7924,0.3179,0.5741,0.9309,1.505,0.8807,6.8018,0.4947,0.0,1.0,0.0,0.0,0.0,1.0,0.2,2.33,7.08,0.62,27.61,0.0,100.0,28.53,51.68,0.0,0.0,100.0,90.6,15.0,99.44,100.0,0.0,85.73999999999998,44.6,30.2266,5.4,1.8,48.7,40.0218,4.6,6.9,11.8,19.5,12.0,4.4,1.5,7.2,28.8,12.1,5.6,14.7,9.5,0.3142,0.9111,0.2747,0.344,0.5837
44,7,13600,1400000US44007013600,44007013600,136.0,Providence,RI,Rhode Island,"Census Tract 136, Providence County, Rhode Islan",2641.0,360.0,3410.0,1.4062,0.5781,1.2062,0.6684,0.7101,0.1277,0.7035,0.3158,1.8571,0.4945,0.0,0.8577,0.9955,0.9621,0.0,0.0,2.8153,0.9814,0.3882,0.9501,0.1065,1.4448,0.3913,0.7891,0.7666,0.0,1.5557,0.7805,0.682,0.682,0.682,8.3549,0.9219,0.6118,0.6118,0.6118,0.1486,0.2439,0.1858,0.5315,0.3435,0.3195,0.1958,1.9686,0.1887,0.2523,0.3788,0.5585,0.5232,1.7128,0.2612,0.6175,0.5527,1.1702,0.7214,5.4634,0.2843,0.0,1.0,0.0,0.0,0.0,1.0,0.2,2.33,7.02,0.58,26.98,0.0,100.0,100.0,90.08,0.0,0.0,99.97000000000001,95.32,15.0,100.0,100.0,0.0,79.92,40.8,12.836,5.2,2.6,33.6,21.9331,4.7,8.2,11.4,20.4,13.4,1.5,2.2,0.4,31.4,11.4,6.4,13.1,9.8,0.4696,0.848,0.4287,0.3826,0.397
44,7,13701,1400000US44007013701,44007013701,137.01,Providence,RI,Rhode Island,"Census Tract 137.01, Providence County, Rhode Is",4369.0,397.0,3978.0,1.5823,0.6599,1.3823,0.7748,0.7101,0.1343,0.829,0.3221,1.9955,0.55,0.0,0.8577,0.9486,0.9314,0.0,0.0,2.7377,0.9678,0.3853,0.9426,0.185,1.5129,0.456,0.7891,0.7666,0.0,1.5557,0.7805,0.682,0.682,0.682,8.4838,0.9328,0.6644,0.6644,0.6644,0.4295,0.5504,0.3739,0.6607,0.6153,0.4549,0.3971,3.4818,0.4997,0.2624,0.414,0.3217,0.8237,1.8218,0.3411,0.0,0.5527,0.5527,0.2891,6.5207,0.4495,0.0,1.0,0.0,0.0,0.0,1.0,0.2,2.33,7.06,0.75,27.14,0.0,100.0,14.11,69.56,0.0,0.0,100.0,94.8,13.96,100.0,100.0,0.0,79.92,47.5,26.5038,11.0,3.9,43.2,30.0349,6.4,13.6,11.6,20.9,10.1,7.2,0.0,0.4,29.1,11.3,6.2,13.1,9.0,0.3316,0.836,0.3868,0.2798,0.397
44,7,13702,1400000US44007013702,44007013702,137.02,Providence,RI,Rhode Island,"Census Tract 137.02, Providence County, Rhode Is",3159.0,423.0,2054.0,1.2403,0.4922,1.0403,0.5497,0.7101,0.1277,0.778,0.3046,1.9204,0.5208,0.0,0.7698,0.0,0.9069,0.0,0.0,1.6767,0.8156,0.3853,0.9633,0.0503,1.3989,0.3479,0.643,0.6786,0.0,1.3216,0.6354,0.6969,0.6969,0.6969,7.0145,0.7312,0.516,0.516,0.516,0.3014,0.4881,0.286,0.4884,0.4166,0.5721,0.2807,2.8333,0.356,0.1831,0.7185,0.2076,0.6668,1.776,0.3054,0.0,0.5072,0.5072,0.2492,5.6325,0.3091,0.0,1.0,0.0,0.0,0.0,1.0,0.2,2.33,7.02,0.67,26.71,0.0,83.09999999999998,0.0,54.63,0.0,0.0,100.0,96.27,16.0,70.43,90.45,0.0,82.45999999999998,31.3,20.3562,9.6,3.3,30.8,23.8565,8.2,10.5,10.0,25.3,8.5,3.0,0.0,0.3,30.8,12.1,6.4,14.3,10.0,0.4334,0.9111,0.4287,0.4083,0.538
