"","geoid","location","rpl_eji","e_ozone","e_pm","e_dslpm","e_totcr","e_npl","e_tri","e_tsd","e_rmp","e_coal","e_lead","e_park","e_houage","e_wlkind","e_rail","e_road","e_airprt","e_impwtr","ep_minrty","ep_pov200","ep_nohsdp","ep_unemp","ep_renter","ep_houbdn","ep_uninsur","ep_noint","ep_age65","ep_age17","ep_disabl","ep_limeng","ep_mobile","ep_groupq","ep_bphigh","ep_asthma","ep_cancer","ep_mhlth","ep_diabetes"
"168","44007013900","Census Tract 139, Providence County, Rhode Islan",0.7071,2.33,6.93,0.64,26.6,0,98.93,0,8.66,0,0,88.92,83.05,15,48.45,92.36,0,83.27,16.4,19.5342,7.2,4,36,33.5366,1.6,17.5,31.4,11.2,16.7,3.5,0,0.4,36,10.8,9.5,10.9,10.5
"169","44007014000","Census Tract 140, Providence County, Rhode Islan",0.5309,2.33,7.06,0.74,27.52,0,97.63,0,54.57,0,0,100,94.93,16.33,34.72,88.11,0,81.61,40.8,24.2395,11.1,3.8,21.1,33.0998,2.7,17,14.5,28.1,8.1,4.5,0,0.1,33.2,11.6,7.3,13.2,10.5
"170","44007014100","Census Tract 141, Providence County, Rhode Islan",0.8592,2.33,7.13,0.85,27.84,0,100,0,68.19,0,0,100,79.38,16.08,98.76,100,0,80.88,58.4,44.6886,20.8,13.3,57.8,43.1007,4.3,27.8,17,19,15.3,10.8,0,0,36.3,11.9,6.6,15,13.4
"171","44007014200","Census Tract 142, Providence County, Rhode Islan",0.3864,2.33,6.84,0.74,26.24,0,89.56,0,75.91,0,0,85.95,61.64,15.83,28.43,100,7.97,80.22,41.8,16.4166,19.5,2.9,13,18.2942,3.3,9.3,12,8.9,12.2,3.1,0,58.5,28.2,10.3,4.4,13.3,7.9
"172","44007014300","Census Tract 143, Providence County, Rhode Islan",0.5224,2.33,6.98,0.6,26.58,0,68.22,0,21.55,0,0,100,80.95,14.58,0,43.32,0,83.04,19,13.8083,6.4,4.8,28.9,31.7588,1.8,14.1,26.5,19.8,12.1,0.5,0,0,37,10.8,9.6,10.6,10.5
"173","44007014400","Census Tract 144, Providence County, Rhode Islan",0.413,2.33,6.87,0.62,25.6,0,81.62,0,3.96,0,0,100,78.07,15.56,0,100,0,80.1,13.5,14.2979,3.9,2.3,18.9,28.3729,3,11.5,30.4,15.2,16.4,0.4,0,0.9,36.3,10.3,10.3,9.6,10
"174","44007014501","Census Tract 145.01, Providence County, Rhode Is",0.1234,2.33,6.84,0.4,24.06,0,68.24,0,0,0,0,35.6,22.47,5.5,0,67.53,0,79.92,15.9,4.492,6.9,2.6,2.5,14.5043,0.9,8.7,14.4,20.6,7.9,0.8,0.5,0.4,28.9,10.7,7,11,7.7
"175","44007014502","Census Tract 145.02, Providence County, Rhode Is",0.587,2.33,6.93,0.49,25.91,0,75.64,0,5.12,0,0,92.67,74.02,13.5,0,94.11,0,80.5,7.5,27.6248,6.6,2.4,40.4,38.1616,3,15.5,22.4,17.9,13.5,1.2,0,0.3,35.4,11.4,8.8,12.3,10.7
"176","44007014600","Census Tract 146, Providence County, Rhode Islan",0.2558,2.33,6.74,0.33,23.51,0,29.37,0,20.49,0,0,51.07,38.04,7.17,8.86,24.98,0,60.02,11.7,12.4962,8.7,4.6,5.6,30.4202,1.3,9.8,17,22.3,13,1.2,0,0.7,29.6,10.7,7.2,10.9,8.2
"177","44007014700","Census Tract 147, Providence County, Rhode Islan",0.6797,2.33,7.07,0.62,27.35,0,100,0,99.14,0,0,100,86.2,17.19,20.41,39.8,0,83.68,52.2,44.8918,16.1,8.5,59,42.0516,4.6,20,12.1,26.5,15,13.3,0,0.3,34.2,12.1,6.9,14.9,11.2
"178","44007014800","Census Tract 148, Providence County, Rhode Islan",0.4906,2.33,6.98,0.46,26.1,0,89.54,0,12.11,0,0,35.3,52.75,13.94,0,69.35,0,83.06,21.4,23.0283,9.5,4.1,33.5,33.436,2.6,12,19.9,19.5,9.5,1.6,0,2.6,34.4,11.6,8.2,13,10.8
"179","44007015000","Census Tract 150, Providence County, Rhode Islan",0.5952,2,7.33,0.78,28.35,0,100,0,35.44,0,0,100,87.64,15,100,100,0,100,54.3,28.6274,17.3,4.9,35,34.3539,6,12.4,10.8,21.1,9.8,9,0,0,32.8,12.4,6.2,14.7,10.1
"180","44007015100","Census Tract 151, Providence County, Rhode Islan",0.9373,2,7.33,0.79,29.11,0,100,0,23.85,0,0,100,82.56,15.94,100,100,0,91.19,79.7,52.8282,33.9,9.2,69.2,48.4795,8.1,25.9,12,25.3,12.6,14,0,0,37.9,15.5,5.7,20.6,15.6
"181","44007015200","Census Tract 152, Providence County, Rhode Islan",0.9949,2,7.32,0.75,28.13,0,100,0,21.95,0,0,100,72.03,18.75,100,100,0,88.4,78.8,76.3814,44.6,25.4,92.1,45.0815,8.2,51.1,23.2,20.2,39.5,18.5,0,1.4,48.3,15.6,8.7,20.3,24.2
"182","44007015300","Census Tract 153, Providence County, Rhode Islan",0.9038,2,7.31,0.63,28.11,0,100,0,99.69,0,0,100,95.29,16.5,100,100,0,89.89,59.3,57.3405,21.4,6.1,74.7,48.0942,8.5,25.4,11.9,27.9,15.9,6.8,0,0.2,33.7,13.7,5.8,17.9,13
"183","44007015400","Census Tract 154, Providence County, Rhode Islan",0.838,2,7.31,0.6,27.92,0,100,0,31.37,0,0,100,93.24,13,100,100,0,85.48,76,39.9235,23.3,9.2,77.9,42.2803,5,22.7,10.1,25.2,15.5,9.9,0,0.6,32.3,13.4,5.2,17,12
"184","44007015500","Census Tract 155, Providence County, Rhode Islan",0.7351,2,7.29,0.56,27,0,100,3.84,18.6,0,0,100,87.67,15,100,100,0,74.37,52.5,32.9875,20.2,3.5,48.2,38.4287,6.5,12.2,9,18,19.4,4.9,0,0,32.6,12.9,6,16.4,10.9
"185","44007015600","Census Tract 156, Providence County, Rhode Islan",0.5757,2,7.29,0.55,27.06,0,100,18.13,5.14,0,0,100,94.48,15.72,100,100,0,75.55,39.2,21.3647,8.8,4.2,52.7,34.6112,2.9,14.3,13.9,16.4,15.9,1.8,0,0,33.5,11.9,6.3,14.2,10.1
"186","44007015700","Census Tract 157, Providence County, Rhode Islan",0.6996,2,7.28,0.52,26.68,0,100,100,96.51,0,0,100,88.8,15.08,100,100,0,68.47,15.9,20.731,10.4,5.5,29.9,35.9112,3.7,15,16.9,19,13.8,1.5,0,0.2,32.9,11.6,7.6,13.1,9.9
"187","44007015800","Census Tract 158, Providence County, Rhode Islan",0.7094,2,7.27,0.53,27.16,0,100,66.41,23.7,0,0,100,96.14,13.6,100,100,0,68.47,15.3,26.9151,15.7,9.5,30.3,28.5932,3.8,24.5,16.2,19.8,20.7,6.5,0,0.2,31.9,11.9,7.1,13.6,9.4
"188","44007015900","Census Tract 159, Providence County, Rhode Islan",0.5627,2,7.29,0.56,27.67,0,100,0.85,0,0,0,100,96.03,15.38,100,100,0,77.82,36.2,25.7199,12.6,4.4,60.8,32.0031,7.1,5.8,9.8,19.6,14,1.6,0,0.1,32,12,6.6,14.3,10.3
"189","44007016000","Census Tract 160, Providence County, Rhode Islan",0.8051,2,7.31,0.64,28.22,0,100,0,23.86,0,0,100,81.79,14.5,100,100,0,89.85,66.9,33.4493,12.5,13.2,75,43.4896,6.9,14.1,11.2,22.5,18.8,10.1,0,0.4,32.1,12.9,5.7,15.7,10.8
"190","44007016100","Census Tract 161, Providence County, Rhode Islan",0.8804,2,7.33,0.8,29.29,0,100,0,31.97,0,0,100,82.42,16.42,100,100,0,89.18,73.4,50.4274,23.2,5.5,81.7,51.1135,7.8,19.1,7.2,26.2,12,10,0,0.6,33.1,14.4,4.7,19.2,12.3
"191","44007016300","Census Tract 163, Providence County, Rhode Islan",0.5242,2,7.34,0.82,28.02,0,100,0,100,0,0,100,80.37,14.67,100,100,0,100,58.3,18.2092,15.9,4.8,19.9,27.5271,1.7,10.5,12.8,19.2,12.4,7,0,0,31.4,12.3,7,14.3,10.3
"192","44007016400","Census Tract 164, Providence County, Rhode Islan",0.9211,2,7.34,0.84,29.83,0,100,0,97.61,0,0,100,91.03,16.22,100,100,0,98.7,72.1,47.163,27,11.2,68,45.4491,12.7,25.9,10.7,23.9,12.2,11.2,0,1.6,34.5,14.8,5.6,19.2,13.3
"193","44007016500","Census Tract 165, Providence County, Rhode Islan",0.5106,2,7.33,0.8,28.33,0,100,0,68.02,0,0,100,86.07,15.72,90.22,100,0,90.74,23.8,16.8507,8.7,3.5,39.7,21.2174,2.1,17,16.3,15.3,13.6,4.5,0.6,0,31.6,11.3,7.1,11.8,9.3
"194","44007016600","Census Tract 166, Providence County, Rhode Islan",0.8726,2,7.32,0.7,28.78,0,100,0,2.46,0,0,100,77.04,16.67,98.84,100,0,87.19,58.8,42.1982,22.4,7.7,60.3,38.9728,8.9,13.7,13,22.2,19.4,8.6,0,5.6,35,13.2,6.8,16,11.9
"195","44007016700","Census Tract 167, Providence County, Rhode Islan",0.7146,2,7.32,0.64,27.66,0,100,0,0,0,0,100,84.27,15.5,100,100,0,87.18,66.2,41.2854,14,7.7,72.2,35.8814,8.4,12.7,9.2,21.3,15.4,4.4,0,0.8,31.6,12.6,5.6,15.5,9.9
"196","44007016800","Census Tract 168, Providence County, Rhode Islan",0.4962,2,7.29,0.52,26.5,0,100,0,0,0,0,100,93.1,15.78,100,100,0,79.36,29.2,29.2683,15.2,5.8,38.3,39.814,5.1,12.7,15,21.8,13,5.7,0,0,33.8,12.3,7,14.8,10.9
"197","44007016900","Census Tract 169, Providence County, Rhode Islan",0.4486,2,7.26,0.48,26.83,0,100,0,0,0,0,100,92.32,14.83,100,99.09,0,68.47,12.8,10.7995,5,3.7,14.9,24.9296,3.6,10,22,16.9,16.1,1.7,0,0.4,33.8,11.1,8.7,11.5,9.9
"198","44007017000","Census Tract 170, Providence County, Rhode Islan",0.7545,2,7.27,0.52,26.35,0,100,0,0,0,0,100,76.64,15.04,100,100,0,76.67,33.2,22.4875,18.1,3.7,29.3,31.2719,6.1,15.7,16.7,15.5,19,6.6,9.8,3.2,36.4,12.1,8.1,14,11.6
"199","44007017100","Census Tract 171, Providence County, Rhode Islan",0.8209,2,7.3,0.56,27.75,0,100,0,2.76,0,0,100,88.14,15.58,100,100,0,87.18,55.9,45.722,17,9.9,54.2,42.4864,4.5,19.7,13.1,21,17.2,6.6,4.3,0.7,32.8,12.9,6.2,16,11.5
"200","44007017300","Census Tract 173, Providence County, Rhode Islan",0.5413,1.33,7.12,0.42,25.31,0,100,0,0,0,0,100,94.68,11.72,100,0,0,57.33,33.9,34.1424,13.1,7.5,53.8,30.298,5.1,15.1,15.8,17.2,16.8,1.2,0.7,0,33.1,12.7,6.3,16.2,11
"201","44007017400","Census Tract 174, Providence County, Rhode Islan",0.7379,1.33,7.11,0.37,24.93,0,100,0,0,0,0,100,82.44,13.72,100,1.42,0,54.41,60.3,55.6924,12,9.7,66.9,38.7806,4.6,13.6,10,31,22.1,5.5,0,3,34.6,13,5.9,17.7,13.3
"202","44007017500","Census Tract 175, Providence County, Rhode Islan",0.4618,1.33,7.13,0.38,24.98,0,71.18,0,0,0,0,100,88.45,14.11,99.42,38.26,0,54.41,27.6,34.7227,12.5,8.4,52,38.7938,4.6,11.3,15.1,16.9,21.5,3.1,0,0.9,33.5,12.2,7,14.2,10.4
"203","44007017600","Census Tract 176, Providence County, Rhode Islan",0.7466,1.33,7.13,0.44,25.05,0,100,0,2.12,0,0,100,90.59,15.5,100,0,0,54.41,61.7,55.8514,19.6,16.2,75.8,54.2105,6.7,21.6,8.6,28.5,23.5,7,0,2,31.6,13.8,4.8,18.9,11.9
"204","44007017700","Census Tract 177, Providence County, Rhode Islan",0.6321,1.33,7.15,0.42,25.6,0,83.07,0,82.69,0,0,100,86.41,9.11,96.48,68.39,0,82.39,11.5,22.7775,15.1,4.1,32.7,23.9533,6.4,12.2,15.4,17.1,13,1.4,0.5,0.5,32.9,11.8,7.5,13.6,10.4
"205","44007017800","Census Tract 178, Providence County, Rhode Islan",0.9395,1.33,7.14,0.46,25.36,0,100,0,86.56,0,0,100,92.66,12.61,100,23.22,0,69.94,22.9,41.2584,31.3,8.8,63.3,49.6503,13.5,29.5,19.1,13.5,17.8,7.3,0.7,7.7,38.4,13.6,6.5,18.1,13.3
"206","44007017900","Census Tract 179, Providence County, Rhode Islan",0.9276,1.33,7.14,0.46,25.59,0,100,0,100,0,0,100,91.41,14.33,100,16.21,0,79.78,32.1,52.8707,19.6,12.3,86.7,47.6835,12,24.7,10,17.7,22.1,5.9,2.1,0.8,36.1,13.8,6.3,18.9,13.6
"207","44007018000","Census Tract 180, Providence County, Rhode Islan",0.9543,1.33,7.13,0.46,25.78,0,100,0,59.79,0,0,100,92.45,17.56,100,0,0,59.46,49.9,65.4686,32.9,11.9,90.9,49.5798,12.6,39,17.7,20.7,23.2,5.8,0,0.4,45.4,13.6,8.7,17.1,16.9
"208","44007018100","Census Tract 181, Providence County, Rhode Islan",0.8832,1.33,7.14,0.46,25.94,0,100,0,27.03,0,0,100,87.56,12.75,99.26,40.63,0,71.67,44.1,62.7055,17.7,8.4,81.7,27.6575,8.2,20.5,9.4,32.1,13.9,1.4,0,0.1,35.7,13.5,6.1,18.5,13.2
"209","44007018200","Census Tract 182, Providence County, Rhode Islan",0.7042,1.33,7.15,0.47,25.3,0,100,0,97.88,0,0,100,77.07,10.83,99.46,96.62,0,93.54,42.4,31.2421,17.6,8.4,62.8,37.8451,6.4,10.9,6.9,25.3,11.7,2.7,0,0,28.1,12.5,5.2,16.4,8.9
"210","44007018300","Census Tract 183, Providence County, Rhode Islan",0.8802,1.33,7.15,0.47,25.76,0,100,0,100,0,0,100,92.67,15.33,100,72.69,0,93.54,48.8,64.1945,33,7.1,83,48.4605,8.1,27.4,10,24.7,27.7,1.7,0.4,0,34.6,14.1,5.3,19.7,12.7
"211","44007018400","Census Tract 184, Providence County, Rhode Islan",0.857,1.33,7.17,0.37,25.01,0,79.69,0,68.07,0,0,98.25,80.17,11.17,14.53,99.05,0,93.54,35.6,40.1949,15.5,3.2,55.1,22.385,6.1,21.1,18.8,19.1,19.7,5.6,0,2.8,36,12.4,7.9,14.4,12.5
"212","44007018500","Census Tract 185, Providence County, Rhode Islan",0.8108,1.33,7.17,0.4,26.16,0,100,0,100,0,0,100,87.3,9.44,85.79,100,0,93.54,14.2,33.6384,14.5,2.8,37.5,42.8436,4.2,16.8,18.5,16.3,29.5,2.4,0,5.5,37,11.9,8.1,13.7,11.2
"213","44009041500","Census Tract 415, Washington County, Rhode Islan",0.5039,5.33,5.75,0.23,16.73,0,21.44,0,0,0,0,58.99,50.45,8.08,0,0,42.31,58.66,6.2,30.8952,2.6,4.4,33.2,30.4545,16.6,10,23.3,17.9,9.4,0,1.4,4.3,36,10.8,9.4,11.6,10.7
"214","44009050102","Census Tract 501.02, Washington County, Rhode Is",0.5734,3,6.17,0.35,22.44,16.31,81.84,0,8.93,0,0,54.32,57.27,8.5,80.41,90.99,3.55,58.28,4.1,11.0083,6,4,15.8,17.9138,1.4,9.5,20.1,18.8,8.9,0.6,0,0.5,32.4,10.7,9,10.8,9.1
"215","44009050103","Census Tract 501.03, Washington County, Rhode Is",0.8372,3,6.25,0.37,22.76,25.8,77.26,0,53.11,0,0,16.99,70.33,9.1,98.51,57.86,51.97,26.54,21.8,37.849,6.9,8.9,52.1,29.5775,4.8,13.1,18.7,23.1,20,2.3,9.3,0.1,32.5,12.2,7.9,14.8,10.8
"216","44009050104","Census Tract 501.04, Washington County, Rhode Is",0.4967,3,6.36,0.38,23.21,0.09,11.34,0,0.57,0,0,82.51,60,6.33,38.55,27.6,6.9,17,4.4,6.7416,3.6,0.9,4.8,16.3418,1.6,5.7,24.3,18.8,10.9,0,1.1,2.4,29.9,10.4,8.3,10.5,8
"217","44009050301","Census Tract 503.01, Washington County, Rhode Is",0.2617,2.67,6.09,0.34,21.83,0,5.93,0,0,0,0,81.93,60.05,9.83,81.86,96.48,0,51.09,6.6,10.5773,4.3,3.8,12.5,15.6671,0.7,8.7,18.1,19.3,11.6,0.1,1.4,3.1,30.9,10.9,8.2,11.8,8.4
"218","44009050302","Census Tract 503.02, Washington County, Rhode Is",0.2466,2.67,6.07,0.34,21.8,0,0.73,0,0,0,0,78.46,74.27,11.06,86.71,88.7,0,48.57,12.4,16.0821,2.4,1.4,27.8,20.8718,1.5,7.7,24.9,14.9,11.9,1.9,0,0.2,32.1,10.8,9.1,10.7,9.2
"219","44009050401","Census Tract 504.01, Washington County, Rhode Is",0.0819,2.67,5.96,0.29,20.49,0,0,0,0,0,0,21.05,41.47,5.58,44.97,54.84,0,65.2,6.9,7.5314,5.1,4.5,8.4,14.6311,2.1,4.4,12.4,25.3,8,1,0.5,0,27.3,10.6,7,11,7.2
