"Model","Best_mtry","Best_ntree","Test_Error","RMSE","MAE","R_squared"
1,5,500,NA,0.104824469860855,0.08514950675,0.834608362151257
2,7,100,NA,0.120074957939414,0.0987611039930555,0.768639155689364
3,22,400,NA,0.0886375573197292,0.0724449235243057,0.890561735837639
4,23,150,0.00875183193149677,0.0935512262426141,0.0770357645833333,0.870251089487395
5,14,150,0.00843050985432,0.091817807936805,0.0799977962962963,0.878419795134274
